"trackingID","rentalorderid","status","currentLocation","courierName","lastUpdateDate","additionalComments"
"trackingid1000","gamerentalorder1000","Out for Delivery","Houston,TX","USPS","2014-05-09 07:01:29",""
"trackingid1001","gamerentalorder1001","Returned to Sender","San Antonio,TX","TNT","2017-11-27 03:46:35",""
"trackingid1002","gamerentalorder1002","In Transit","Detroit,MI","DHL","2023-10-19 17:38:30",""
"trackingid1003","gamerentalorder1003","Delivered","Tulsa,OK","TNT","2018-05-14 10:56:45",""
"trackingid1004","gamerentalorder1004","Returned to Sender","Wichita,KS","TNT","2017-09-26 13:16:12",""
"trackingid1005","gamerentalorder1005","Out for Delivery","Jacksonville,FL","UPS","2013-02-11 15:41:41",""
"trackingid1006","gamerentalorder1006","Arrived at Facility","Milwaukee,WI","DHL","2016-08-24 19:20:31",""
"trackingid1007","gamerentalorder1007","Arrived at Facility","Indianapolis,IN","DHL","2017-12-17 09:33:15",""
"trackingid1008","gamerentalorder1008","In Transit","Tucson,AZ","DHL","2021-01-06 22:28:23",""
"trackingid1009","gamerentalorder1009","Delayed","Austin,TX","TNT","2015-09-24 19:59:58",""
"trackingid1010","gamerentalorder1010","Delivered","Memphis,TN","USPS","2014-09-09 04:29:31",""
"trackingid1011","gamerentalorder1011","Delivered","Albuquerque,NM","DHL","2022-06-01 02:40:46",""
"trackingid1012","gamerentalorder1012","Delivered","New York,NY","TNT","2023-05-04 20:06:03",""
"trackingid1013","gamerentalorder1013","Delayed","Tulsa,OK","UPS","2014-02-18 19:04:40",""
"trackingid1014","gamerentalorder1014","Returned to Sender","Memphis,TN","USPS","2014-07-31 03:16:47",""
"trackingid1015","gamerentalorder1015","Ready for Pickup","Miami,FL","UPS","2015-10-17 14:40:56",""
"trackingid1016","gamerentalorder1016","Ready for Pickup","San Antonio,TX","USPS","2022-01-02 07:47:39",""
"trackingid1017","gamerentalorder1017","In Transit","Los Angeles,CA","TNT","2018-05-24 21:51:08",""
"trackingid1018","gamerentalorder1018","Delivered","Miami,FL","FedEx","2015-12-23 06:34:43",""
"trackingid1019","gamerentalorder1019","Returned to Sender","Portland,OR","USPS","2018-07-15 10:01:41",""
"trackingid1020","gamerentalorder1020","Arrived at Facility","Houston,TX","UPS","2021-12-04 20:30:18",""
"trackingid1021","gamerentalorder1021","Out for Delivery","Omaha,NE","TNT","2015-12-28 00:35:38",""
"trackingid1022","gamerentalorder1022","Returned to Sender","Denver,CO","USPS","2023-07-28 15:38:51",""
